,dots-comparison_IES_correct,match-sample_IES_correct,match-sample-rotate_IES_correct,match-points-number_IES_correct,symbolic-magnitude_IES_correct,numeric-line_IES_correct,counting_IES_correct,counting-true_IES_correct,simple-arithmetic-plus_IES_correct,simple-arithmetic-minus_IES_correct
0,1283.3,3697.7343749537786,3501.6666666666665,2163.827160493827,1206.5,3946.6666666666665,1664.0156249791999,1570.7253085634393,1306.5,1483.95
2,4099.0,7052.142856941367,6227.555555555556,4376.79012345679,2011.7,14560.15625,3671.222222222222,3758.315789473684,,4018.35
4,2945.5555555555557,11099.250001109924,11763.750001176373,4167.6,2964.7,11088.163265306122,11852.444444444445,20034.322314778106,13004.691358024691,12631.85185185185
5,1037.1604938271605,3234.234374959572,3308.4444444444443,2201.7,1163.4,3709.21875,1514.111111111111,1364.6842105263158,1798.148148148148,1599.0581717451525
6,1399.1,4397.693877425372,3352.0,1649.5061728395062,821.1,3319.591836734694,1270.111111111111,1185.3684210526317,1303.5,1295.95
7,1177.530864197531,4275.562499946555,4083.8888888888887,2478.2,1011.3,2499.2592592592596,1647.2222222222222,1638.9473684210527,1466.5,1739.7
8,1224.0,4065.187499949185,3231.8888888888887,1756.7,898.6,,1663.6666666666667,1731.7368421052631,2129.6,1959.8
9,1319.7,3152.6666666666665,3855.6666666666665,1821.71875,1031.9,3307.9,1349.999999983125,1950.7253085444393,1833.827160493827,1871.3573407202218
12,1231.1,4248.562499946893,3454.0,4044.5,836.3,2123.3,2146.6666666666665,2152.2631578947367,1354.7,1288.5
13,702.0,3999.4999998000253,3713.142857036767,1146.326530612245,791.1,1854.9,1889.4444444444443,2086.1296295253233,1335.0,1491.1
14,1044.074074074074,4433.326530485579,4250.99999978745,2335.5102040816328,1182.962962962963,3247.7,7824.0000007824,9808.749999509562,3745.0,7099.444444444445
15,1165.4,4578.468749942769,3356.4444444444443,2676.2,880.0,,1329.6666666666667,1259.421052631579,1458.3950617283951,1378.5595567867035
16,1940.4,4441.959183546556,3877.0,3290.4,1105.0,,4913.437499938583,,5251.40625,8400.761245674741
17,1593.6,4139.437499948257,3394.4444444444443,2561.7,1014.1,3038.4,5012.437499937345,5332.425605567699,3084.0,4139.05
19,2467.1,6571.9999996714,4811.333333333333,2729.3,1590.8641975308642,7003.5,4106.109374948674,,3819.2,4794.55
20,1471.4,5100.244897813462,5669.249999716538,,1084.2,4604.0625,3683.953124953951,3202.320987494205,2395.0,3121.25
22,1806.1,4298.062499946274,6696.562499916294,3854.53125,1430.8,4882.592592592592,3590.015624955125,3095.0648146600615,4002.7,5275.567867036012
23,1842.0987654320988,9752.399999219808,3515.1111111111113,2412.2,1163.7,4729.382716049383,3419.0156249572624,3006.280864047217,3049.7,3506.2603878116342
25,2031.1,5747.444444444444,4322.111111111111,2764.8,1582.5,5452.83950617284,2729.2499999658844,,3079.3,4905.95
