,dots-comparison_LISAS,match-sample_LISAS,match-sample-rotate_LISAS,match-points-number_LISAS,symbolic-magnitude_LISAS,numeric-line_LISAS,counting_LISAS,counting-true_LISAS,simple-arithmetic-plus_LISAS,simple-arithmetic-minus_LISAS
0,1283.3,4816.5239838932075,3306.2,4675.348200936161,1206.5,3261.725,2060.664401733727,3129.210548974771,1306.5,1483.95
2,4099.0,8678.229259224054,6262.8,8909.26509710115,2011.7,24334.86710288945,3671.222222,3758.315789,,4018.35
4,4211.423804347358,7607.4813813538785,8988.05395302346,4167.6,2964.7,11442.014368390404,11852.44444,20311.3465548577,39155.574707559164,37427.446765866254
5,1518.1387567104775,3893.73216062193,3144.4,2201.7,1163.4,2519.411111,1514.111111,1364.684211,2296.368904185857,2944.9379382040406
6,1399.1,3961.7976819528876,3196.8,2330.878871575439,821.1,2944.914906561149,1270.111111,1185.368421,1303.5,1295.95
7,1991.8477248474294,6258.373401871746,4215.3,2478.2,1011.3,3186.8226830603326,1647.222222,1638.947368,1466.5,1739.7
8,1224.0,5406.368138078053,3024.2,1756.7,898.6,,1663.666667,1731.736842,2129.6,1959.8
9,1319.7,3153.7,3585.9,3073.3328258458523,1031.9,3085.45,1660.3513748566945,12343.919449185558,3516.4989109895073,6644.745193386152
12,1231.1,6538.991635488928,3480.9,4044.5,836.3,2180.666667,2146.666667,2152.263158,1354.7,1288.5
13,702.0,3091.250908254756,3229.0316501220473,1204.158842237211,791.1,1888.644444,1889.444444,12266.360539599604,1335.0,1491.1
14,1358.5842424170523,5237.981464802728,5468.964150078829,2497.502614638067,1441.648825632558,3597.866667,2473.7728258227344,1685.097320842475,1040.3885371166084,2275.2829948213075
15,1165.4,5682.006188403334,3263.1,2676.2,880.0,,1329.666667,1259.421053,1883.5143047492147,2084.086509782448
16,1940.4,4164.125672225981,3843.2,3290.4,1105.0,,16081.520359875723,,14454.92922640262,20493.072063241227
17,1593.6,6002.273065128335,3232.3,2561.7,1014.1,3373.875,13988.713343833952,12618.068015101973,3084.0,4139.05
