,dots-comparison_LISAS_correct,match-sample_LISAS_correct,match-sample-rotate_LISAS_correct,match-points-number_LISAS_correct,symbolic-magnitude_LISAS_correct,numeric-line_LISAS_correct,counting_LISAS_correct,counting-true_LISAS_correct,simple-arithmetic-plus_LISAS_correct,simple-arithmetic-minus_LISAS_correct
0,1283.3,4243.965839483328,3501.6666666666665,4704.005748355936,1206.5,3552.0,1797.1924063819322,3084.5244543128465,1306.5,1483.95
2,4099.0,8967.172023420568,6227.555555555556,8579.999052969746,2011.7,25027.170161651113,3671.222222222222,3758.315789473684,,4018.35
4,4227.931831120166,5943.228488905301,7048.788194232597,4167.6,2964.7,11805.980985977405,11852.444444444445,19946.138257715476,33088.6952238081,34903.77280621912
5,1537.9990095766764,3722.531106577404,3308.4444444444443,2201.7,1163.4,2967.375,1514.111111111111,1364.6842105263158,2310.1324371199744,2954.193340410885
6,1399.1,3996.036821162529,3352.0,2381.669941920094,821.1,3219.894964776164,1270.111111111111,1185.3684210526317,1303.5,1295.95
7,1378.110238509566,6488.218363255457,4083.8888888888887,2478.2,1011.3,3249.6002976983473,1647.2222222222222,1638.9473684210527,1466.5,1739.7
8,1224.0,5530.258200736818,3231.8888888888887,1756.7,898.6,,1663.6666666666667,1731.7368421052631,2129.6,1959.8
9,1319.7,3152.6666666666665,3855.6666666666665,2284.692313671121,1031.9,3307.9,1635.1413563484098,12647.235105692995,3623.9236620249644,6772.167829184996
12,1231.1,6708.197119453998,3454.0,4044.5,836.3,2123.3,2146.6666666666665,2152.2631578947367,1354.7,1288.5
13,702.0,3057.64622322209,3371.404592462001,1328.968761184844,791.1,1854.9,1889.4444444444443,4303.285846931639,1335.0,1491.1
14,1359.3760899585436,5605.759233804252,2975.7829326894116,2602.0280786526823,1463.7907075361688,3247.7,3096.215457852025,2640.5179696294945,802.0,3817.0576988294606
15,1165.4,5907.263401334643,3356.4444444444443,2676.2,880.0,,1329.6666666666667,1259.421052631579,1886.2194137706451,2085.69370342751
16,1940.4,4250.244739320388,3877.0,3290.4,1105.0,,10737.717735761824,,8214.212893069376,19567.752271252702
17,1593.6,6219.9054794779,3394.4444444444443,2561.7,1014.1,3038.4,11672.777741732141,11464.281837621154,3084.0,4139.05
19,2467.1,5587.710186251461,4811.333333333333,2729.3,2387.6509678796633,7003.5,9604.209461204406,,3819.2,4794.55
20,1471.4,5947.058503526177,5247.051418820492,,1084.2,4850.011222358714,9260.28201288469,9463.746604704202,2395.0,3121.25
22,1806.1,4976.687701038814,15749.85596997474,6486.761485288241,1430.8,8237.901727417142,5389.325371922632,6076.114264987676,4002.7,14760.035529149507
23,2939.227598555029,8948.69270851975,3515.1111111111113,2412.2,1163.7,7804.0467646351135,5474.804140434617,6110.326075532201,3049.7,6603.293460656471
25,2031.1,5747.444444444444,4322.111111111111,2764.8,1582.5,10182.550552920216,3583.1248852364524,,3079.3,4905.95
26,1379.5,3409.3333333333335,3209.777777777778,,1022.6,3102.1,2967.2932837561516,4955.371024868676,2055.6,4796.415859376601
27,3331.1,8481.309901632434,5870.333333333333,,,10526.639878092827,7891.795497200621,7690.650352610426,16993.85469963993,20733.827522645734
28,4115.1,4893.258227788195,8709.445427091152,,1536.0,5117.2,5891.725091659584,14146.053871129816,6910.5,19641.99303882427
29,2101.2,11100.396413329894,3816.0,2972.4,1601.0,6596.928666731499,6607.195943555835,8109.510354596834,4336.8,27409.33798873771
